	MM-DD	LiturgicalProperName	Collect of the Day
347	9 November	The Dedication of the Lateran Basilica	O MOST blessed Saviour, who didst vouchsafe thy gracious presence at the Feast of Dedication: be present with us at this time by thy Holy Spirit, and so possess our souls by thy grace; that we may be living temples, holy and acceptable unto thee; who livest and reignest with the Father, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
348	10 November	St Leo the Great, Pope, Doctor	O LORD Jesu Christ, who didst strengthen thy holy Bishop and Doctor, Pope Leo, to maintain both by word and deed the verity of thy sacred Humanity: grant, we beseech thee; that guided by the light of his doctrine, we may earnestly defend the faith of thy holy Incarnation; who livest and reignest with the Father, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
349	11 November	St Martin of Tours, Bishop	O GOD, who seest that we are not able to stand in our own strength: mercifully grant; that through the prayers of blessed Martin thy Confessor and Bishop, we may be defended from all adversities; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
350	12 November	St Josaphat, Bishop, Martyr	STIR UP in thy Church, we pray, O Lord, the Spirit that filled Saint Josaphat: that, as he laid down his life for the sheep; so through his intercession we, too, may be strengthened by the same Spirit and not fear to lay down our life for our brethren; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
351	15 November	St Albert the Great, Bishop, Doctor	O GOD, who gavest grace unto blessed Albert, thy Bishop and Doctor, to become truly great in the subjection of human wisdom to divine faith: grant us, we beseech thee, so to follow in the footsteps of his teaching; that we may enjoy the perfect light in heaven; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
352	16 November	St Margaret of Scotland	O GOD, who didst call thy servant Margaret to an earthly throne that she might advance thy heavenly kingdom, and didst endue her with zeal for thy Church and charity towards thy people: mercifully grant; that we who ask her prayers and commemorate her example may be fruitful in good works, and attain to the glorious fellowship of thy Saints; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
353	16 November	St Edmund of Abingdon, Bishop	O GOD, who, by the providence of thine abundant bounty, didst adorn thy Church with the merits of the wondrous life of blessed Edmund, thy Confessor and Bishop, and gladdened her with his glorious miracles: mercifully grant to us thy servants; that by his example we may learn to amend our lives, and by his intercession be defended against all adversities; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
354	17 November	St Hilda, Abbess	ALMIGHTY and everlasting God, who didst endow thy Abbess Hilda with purity and strength: grant by her intercession; that we may subdue our souls and bodies to thy most holy will; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
355	17 November alt	St Hugh of Lincoln, Bishop	O GOD, who didst endow thy servant Saint Hugh of Lincoln with a wise and cheerful boldness and didst teach him to commend to earthly rulers the discipline of a holy life: by his intercession, give us grace like him to be bold in the service of the Gospel, putting our confidence in Christ alone: who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
356	18 November	Dedication of the Basilicas of Ss Peter & Paul	DEFEND thy Church, O Lord, by the protection of the holy Apostles: that, as she received from them the beginnings of her knowledge of things divine; so through them she may receive, even to the end of the world, an increase in heavenly grace; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
357	20 November	St Edmund, Martyr	O GOD of unspeakable mercy, who didst give thy blessed Saint Edmund grace to overcome the enemy by dying for thy Name: mercifully grant to us thy servants; that by his intercession we may be found worthy to conquer and subdue the temptations of our ancient adversary; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
358	21 November	The Presentation of our Lady	ALMIGHTY and everlasting God, who by the overshadowing of the Holy Spirit didst prepare the body and soul of the glorious Virgin Mother Mary to be a dwelling place for thy Son: grant that we who rejoice in her Presentation may at her tender intercession be kept unspotted, and made a pure temple for his dwelling; who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
359	22 November	St Cecilia, Virgin, Martyr	O GOD, who makest us glad with the yearly festival of blessed Cecilia thy Virgin and Martyr: grant that we who venerate her in our service, may also follow the example of her godly life; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
360	23 November	St Clement I, Pope, Martyr	O EVERLASTING Shepherd, favourably look upon thy flock: and keep it with perpetual protection, through the intercession of blessed Clement thy Pope and Martyr, whom thou didst appoint to be shepherd of the whole Church; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
361	23 November alt	St Columban, Abbot	O GOD, who in Saint Columban wonderfully didst join the work of evangelization to zeal for the monastic life: grant, we pray, that through his intercession and example, we may strive to seek thee above all things and to bring increase to thy faithful people; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
362	24 November	St Andrew Dũng-Ląc, Priest & Companions, Martyrs	O GOD, source and origin of all fatherhood, who kept the Martyrs Saint Andrew Dũng-Ląc and his Companions faithful to the Cross of thy Son, even to the shedding of their blood: grant, through their intercession; that, spreading thy love among our brethren, we may be thy children both in name and in truth; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
363	25 November	St Catherine of Alexandria, Virgin, Martyr	O GOD, whose dwelling-place is in the pure of heart: grant we beseech thee, that we who venerate the memory of the Martyr Catherine, thy faithful bride, may have grace to follow the example of her holiness and courage; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
364	30 November	St Andrew, Apostle	ALMIGHTY God, who didst give such grace unto thy holy Apostle Saint Andrew, that he readily obeyed the calling of thy Son Jesus Christ, and followed him without delay: grant unto us all; that we, being called by thy holy Word, may forthwith give up ourselves obediently to fulfil thy holy commandments; through the same Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
365	1 December	St Edmund Campion, Priest, Martyr	ALMIGHTY and everliving God, who gavest thy Martyr Edmund Campion courage to witness to the Gospel of Christ even unto the giving of his life: grant that, by his prayers; we may endure all suffering for love of thee, and may seek thee with all our hearts, for thou alone art the source of life; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
366	3 December	St Francis Xavier, Priest	O GOD, who by the preaching and wondrous works of Saint Francis Xavier didst unite unto thy Church the peoples of India: mercifully grant that we who venerate his glorious merits; may likewise follow him in all virtuous and godly living; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
367	4 December	St John Damascene, Priest, Doctor	ALMIGHTY everlasting God, who, for the defence of the veneration of sacred images, didst endue blessed John Damascene with heavenly doctrine and wondrous strength of spirit: grant unto us by his intercession and example; that we may imitate the virtues and perceive the advocacy of those images we honour; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
368	6 December	St Nicholas, Bishop	O GOD, who didst adorn thy blessed Bishop Saint Nicholas with power to work many and great miracles: grant, we beseech thee, that by his prayers and merits; we may be delivered from the fires of everlasting torment; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
369	7 December	St Ambrose, Bishop, Doctor	O GOD, who didst set thy blessed Bishop Saint Ambrose in thy Church as a Doctor and defender of the Catholic faith and an example of apostolic fortitude: grant, we beseech thee, that aided by his intercession; we may escape the dangers of error and never be ashamed to confess thy truth; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
370	8 December	The Immaculate Conception of our Lady	O GOD, who in the foreknowledge of thy Son’s most precious death didst consecrate for him a dwelling-place by the Immaculate Conception of the Blessed Virgin Mary: mercifully grant; that she who was preserved from all defilement; may evermore pray for us until we attain unto thee in purity of heart; through the same Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
371	9 December	St Juan Diego Cuauhtlatoatzin	O GOD, who by means of Saint Juan Diego didst show the love of the most holy Virgin Mary for thy people: grant, through his intercession; that, by following the counsels our Mother gave at Guadalupe, we may be ever constant in fulfilling thy will; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
372	10 December	St John Roberts, Priest, Martyr (Wales only)	PRESERVE among thy people, O Lord, we pray: that faith which was handed down from thine Apostles, assured by the authority of the Holy See, and professed by the blood of Saint John Roberts, thy holy Martyr; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
373	11 December	St Damasus I, Pope	GRANT, we pray thee, O Lord: that we may constantly exalt the merits of thy Martyrs, whom Pope Saint Damasus so venerated and loved; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
374	12 December	Our Lady of Guadalupe	O GOD, who hast willed that under the special patronage of the most Blessed Virgin Mary of Guadalupe, we should receive an abundant measure of unceasing favours: grant us, thy suppliant people; that as we rejoice to honour her upon earth, so we may enjoy the vision of her in heaven; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
375	13 December	St Lucy, Virgin, Martyr	O LORD our Saviour, who art the true Light that lighteneth every man: graciously hear us; that like as we do rejoice in the festival of blessed Lucy thy Virgin and Martyr, so we may learn to follow her in all godly and devout affections; who liveth and reigneth with the Father, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
376	14 December	St John of the Cross, Priest, Doctor	O GOD, who didst inspire thy holy Confessor Saint John with an ardent love of self-denial and of the Cross: grant that by constantly following his example we may attain to everlasting glory; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
377	21 December	St Peter Canisius, Priest, Doctor	O GOD, who didst strengthen Saint Peter Canisius, thy Confessor, for the defence of the Catholic faith: mercifully grant; that by his example and teaching, the erring may be made wise unto salvation and the faithful may stand fast in the confession of truth; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
378	23 December	St John of Kanty, Priest	GRANT, we beseech thee, almighty God: that after the example of blessed John of Kanty, thy Confessor, we may so advance in the knowledge of the Saints, and likewise so learn to show mercy to all men; that by his merits we may counted worthy to attain thy pardon; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
379	26 December	St Stephen, the First Martyr	GRANT, O Lord, that in all our sufferings here upon earth, for the testimony of thy truth, we may steadfastly look up to heaven, and by faith behold the glory that shall be revealed: and, being filled with the Holy Spirit, may learn to love and bless our persecutors, by the example of thy first Martyr Saint Stephen; who prayed for his murderers to thee, O blessed Jesus, who standest at the right hand of God to succour all those that suffer for thee, our Mediator and Advocate; who livest and reignest with the Father, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
380	27 December	St John, Apostle & Evangelist	MERCIFUL Lord, we beseech thee to cast thy bright beams of light upon thy Church: that she being enlightened by the doctrine of thy blessed Apostle and Evangelist Saint John; may so walk in the light of thy truth, that she may at length attain to the light of everlasting life; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
381	28 December	The Holy Innocents, Martyrs	O ALMIGHTY God, who out of the mouths of babes and nurslings hast ordained strength, and madest infants to glorify thee by their deaths: mortify and kill all vices in us; and so strengthen us by thy grace, that by the innocency of our lives, and constancy of our faith, even unto death, we may glorify thy holy Name; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
382	29 December	St Thomas (Becket) of Canterbury, Bishop, Martyr, Patron of Pastoral Clergy in England & Wales	O GOD, for whose Church the glorious Bishop Thomas Becket fell by the swords of wicked men: grant, we beseech thee; that all who call upon him for succour may be profited by the obtaining of all that they desire; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
383	31 December	St Sylvester I, Pope	BE MERCIFUL to the people of thy flock, O Lord, eternal Shepherd of our souls: and keep us in thy continual protection at the intercession of Saint Sylvester, whom thou didst raise up to be shepherd of the whole Church; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
384		Common of Church Dedication: 1. on the Day of the Dedication	O MOST blessed Saviour, who didst vouchsafe thy gracious presence at the Feast of Dedication: be present with us at this time by thy Holy Spirit; and so possess our souls by thy grace, that we may be living temples, holy and acceptable unto thee; who livest and reignest with the Father, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
385		Common of Church Dedication: 2a. on the Anniversary of the Dedication	O GOD, whom year by year we praise for the dedication of this church: hear, we beseech thee, the prayers of thy people; and grant that whosoever shall worship before thee in this place, may obtain thy merciful aid and protection; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
386		Common of Church Dedication: 2b. on the Anniversary of the Dedication	O GOD, by whose providence we celebrate again the dedication of this church: send down upon us, we beseech thee, thy heavenly blessing; and, because holiness becometh thine house for ever, sanctify us, we beseech thee, that we may be living temples, holy and acceptable unto thee; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
387		Common of the Blessed Virgin Mary: 1.	GRANT, we beseech thee, O Lord God, that we thy servants may enjoy perpetual health of mind and body: and, at the glorious intercession of the blessed and ever-Virgin Mary; may be delivered from present sadness, and may rejoice in continual gladness; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
388		Common of Martyrs: 1. for a Martyr Pope or Bishop	ALMIGHTY GOD, mercifully look upon our infirmities: that whereas we are afflicted with the burden of our sins; the glorious intercession of thy Martyr and Pope (Bishop) blessed N. may be our succour and defence; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
389		Common of Martyrs: 2. for a Martyr Bishop	O GOD, who makest us glad with the yearly festival of blessed N. thy Martyr and Bishop: mercifully grant that, as we now observe his heavenly birthday; so we may likewise rejoice in his protection; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
390		Common of Martyrs: 3a. for One Martyr (out of Eastertide)	ALMIGHTY GOD, by whose grace and power thy Martyr N. was enabled to witness to the truth and to be faithful unto death: grant that we, who now remember him (her) before thee; may likewise so bear witness unto thee in this world, that we may receive with him (her) the crown of glory that fadeth not away; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
391		Common of Martyrs: 3b. for One Martyr (out of Eastertide)	GRANT, we beseech thee, Almighty God: that we, who this day keep the heavenly birthday of blessed N. thy holy Martyr; may by his (her) prayers be stablished in the love of thy holy Name; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
392		Common of Martyrs: 3. for One Martyr (in Eastertide)	GRANT, we beseech thee, Almighty God: that we, who this day do keep the heavenly birthday of blessed N., thy holy Martyr; may by his (her) prayers be stablished in the love of thy holy Name; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
393		Common of Martyrs: 4a. for Several Martyrs (out of Eastertide)	PROTECT us, O Lord, we beseech thee: who observe the feast of blessed N. and N., thy holy Martyrs; and grant that by their meritorious supplication we may ever find favour in thy sight; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
394		Common of Martyrs: 4b. for Several Martyrs (out of Eastertide)	O GOD, who vouchsafest unto us to keep the heavenly birthday of blessed N. and N., thy holy Martyrs: grant, we beseech thee; that we may rejoice in the perpetual felicity of their fellowship in heaven; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
395		Common of Martyrs: 4. for Several Martyrs (in Eastertide)	O GOD, who vouchsafest unto us to keep the heavenly birthday of blessed N. and N., thy holy Martyrs: grant, we beseech thee; that we may rejoice in the perpetual felicity of their fellowship in heaven; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
396		Common of Martyrs: 5. for a Virgin Martyr	Graciously hear us, O God of our salvation: that like as we do rejoice in the feast of blessed N., thy Virgin and Martyr; so we may grow in the knowledge and love of true devotion; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
397		Common of Confessors: 1. for a Holy Pope	O Everlasting Shepherd, mercifully look upon thy flock: and through the intercession of blessed N. thy Supreme Pontiff, whom thou didst appoint to be shepherd of the whole Church; keep her with thy perpetual protection; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
398		Common of Confessors: 2a. for a Bishop	GRANT, we beseech thee, Almighty God: that the devout observance of this festival of blessed N. thy Confessor and Bishop; may be profitable unto us for our advancement in all godliness and for the attainment of everlasting salvation; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
399		Common of Confessors: 2b. for a Bishop	WE BESEECH thee, O Lord, graciously to hear the prayers which we offer unto thee on this feast of blessed N., thy Confessor and Bishop: that, like as he was found worthy to do thee faithful service, so, by the succour of his merits, we may be delivered from the chastisement which we have deserved; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
400		Common of Confessors: 3a. for a Priest	O ALMIGHTY God, who willest to be glorified in thy Saints, and didst raise up thy servant N. to shine as a light in the world: shine, we pray thee, in our hearts; that aided by his prayers we also in our generation may show forth thy praises, who hast called us out of darkness into thy marvellous light; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
401		Common of Confessors: 3b. for a Priest	O GOD, who makest us glad with the yearly feast of blessed N., thy Priest and Confessor: mercifully grant, that, as we now observe his heavenly birthday; so we may follow him in all virtuous and godly living; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
402		Common of Confessors: 4. for a Missionary	O GOD, who makest us glad with the yearly memorial of blessed N., thy Confessor whose labours we commemorate this day: mercifully grant that as we now observe his heavenly birthday; so thou wouldest send forth many labourers into thy harvest; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
403		Common of Doctors of the Church: 1.	O GOD, by whose providence blessed N. was sent to guide thy people in the way of everlasting salvation: grant, we beseech thee; as we on earth have learned of him (her) the doctrine of life, so we may be found worthy to have him (her) for our advocate in heaven; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
404		Common of Virgins: 1a.	Graciously hear us, O God of our salvation: that, like as we do rejoice in the festival of blessed N., thy holy Virgin; so we may learn to follow her in all godly and devout affections; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
405		Common of Virgins: 1b.	O GOD who didst endue thy holy Virgin N., with grace to witness a holy life: grant that we, after her example and aided by her prayers, may be found ready when the Bridegroom cometh, and enter with him to the marriage feast; through the same Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
406		Common of Holy Men and Women: 1a. for any Holy Man	O ALMIGHTY God, who willest to be glorified in thy Saints, and didst raise up thy servant N. to shine as a light in the world: shine, we pray thee, in our hearts; that aided by his prayers we also in our generation may show forth thy praises, who hast called us out of darkness into thy marvellous light; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
407		Common of Holy Men and Women: 1b. for any Holy Man	O GOD, who makest us glad with the yearly feast of blessed N., thy Confessor: mercifully grant, that, as we now observe his heavenly birthday; so we may follow him in all virtuous and godly living; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
408		Common of Holy Men and Women: 2a. for any Matron or Holy Woman	O GOD Most High, the Creator of all mankind: we bless thy holy Name for the virtue and grace which thou hast given unto holy women in all ages, especially thy handmaid Saint N.; and we pray that the example of her faith and purity may inspire many souls in this generation to look unto thee, and to follow thy blessed Son Jesus Christ our Lord; who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
409		Common of Holy Men and Women: 2b. for any Matron or Holy Woman	Graciously hear us, O God of our salvation: that, like as we do rejoice in the festival of blessed N., thy holy woman; so we may learn to follow her in all godly and devout affections; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
410		Common of Holy Men and Women: 3. for Religious	ALMIGHTY GOD, our heavenly Father: we remember before thee all thy servants who have served thee faithfully in their generation, and have entered into rest, especially N. (and N.); beseeching thee to give us grace so to follow in their steps, that with them we may be partakers of thy heavenly kingdom; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
411		Common of Holy Men and Women: 4a. for an Abbot or Abbess	GRANT, we beseech thee, O Lord, that the prayers of thy holy Abbot (Abbess), blessed N., may commend us unto thee: that we, who have no power of ourselves to help ourselves; may by his (her) advocacy find favour in thy sight; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
412		Common of Holy Men and Women: 4b. for an Abbot or Abbess	O GOD, who to the blessed Abbot (Abbess) N. gavest grace to imitate Christ in his poverty, and with humble heart to follow him to the end: grant that all who enter the path of Gospel perfection may neither look back nor go astray from the way; but hastening to thee without stumbling, may attain the crown of eternal life whereunto thou dost call them; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
413		Common of Holy Men and Women: 5a. for an Educator	O GOD, who by thy Holy Spirit hast given unto one man a word of wisdom, and to another a gift of knowledge, and to another the gift of tongues: we praise thy Name for the gifts of grace manifested in thy servant N.; and we pray that thy Church may never be destitute of the same; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
414		Common of Holy Men and Women: 5b. for an Educator	Assist us mercifully, O Lord, in these our supplications which we make before thee on the feast of blessed N., thy holy servant: that we who put not our trust in our own righteousness; may be succoured by the prayers of him (her) that found favour in thy sight; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
415		Holy Apostles	O ALMIGHTY GOD, who hast built thy Church upon the foundation of the Apostles and Prophets, Jesus Christ himself being the head corner-stone : grant us so to be joined together in unity of spirit by their doctrine, that we may be made an holy temple acceptable unto thee; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
