Psalm1.0	Psalm 1. Beatus vir, qui non abiit.	Psalm 1. Beatus vir, qui non abiit.	1000	1
Psalm57.4	4 God shall send forth his mercy and truth * my soul is among lions.	God shall send forth his mercy and truth * my soul is among lions.	57004	931
Psalm57.5	5 And I lie even among the children of men, that are set on fire * whose teeth are spears and arrows, and their tongue a sharp sword	And I lie even among the children of men, that are set on fire * whose teeth are spears and arrows, and their tongue a sharp sword	57005	932
Psalm57.6	6 Set up thyself, O God, above the heavens * and thy glory above all the earth.	Set up thyself, O God, above the heavens * and thy glory above all the earth.	57006	933
Psalm57.7	7 They have laid a net for my feet, and pressed down my soul * they have digged a pit before me, and are fallen into the midst of it themselves.	They have laid a net for my feet, and pressed down my soul * they have digged a pit before me, and are fallen into the midst of it themselves.	57007	934
Psalm57.8	8 My heart is fixed, O God, my heart is fixed * I will sing, and give praise.	My heart is fixed, O God, my heart is fixed * I will sing, and give praise.	57008	935
Psalm57.9	9 Awake up, my glory; awake, lute and harp * I myself will awake right early.	Awake up, my glory; awake, lute and harp * I myself will awake right early.	57009	936
Psalm57.10	10 I will give thanks unto thee, O Lord, among the people * and I will sing unto thee among the nations.	I will give thanks unto thee, O Lord, among the people * and I will sing unto thee among the nations.	57010	937
Psalm57.11	11 For the greatness of thy mercy reacheth unto the heavens * and thy truth unto the clouds.	For the greatness of thy mercy reacheth unto the heavens * and thy truth unto the clouds.	57011	938
Psalm57.12	12 Set up thyself, O God, above the heavens * and thy glory above all the earth.	Set up thyself, O God, above the heavens * and thy glory above all the earth.	57012	939
Psalm58.0	Psalm 58. Si vere utique.	Psalm 58. Si vere utique.	58000	940
Psalm58.1	1 ARE your minds set upon righteousness, O ye congregation * and do ye judge the thing that is right, O ye sons of men?	ARE your minds set upon righteousness, O ye congregation * and do ye judge the thing that is right, O ye sons of men?	58001	941
Psalm58.2	2 Yea, ye imagine mischief in your heart upon the earth * and your hands deal with wickedness.	Yea, ye imagine mischief in your heart upon the earth * and your hands deal with wickedness.	58002	942
Psalm58.3	3 The ungodly are froward, even from their mother's womb * as soon as they are born, they go astray, and speak lies.	The ungodly are froward, even from their mother's womb * as soon as they are born, they go astray, and speak lies.	58003	943
Psalm58.4	4 They are as venomous as the poison of a serpent * even like the deaf adder that stoppeth her ears;	They are as venomous as the poison of a serpent * even like the deaf adder that stoppeth her ears;	58004	944
Psalm58.5	5 Which refuseth to hear the voice of the charmer * charm he never so wisely.	Which refuseth to hear the voice of the charmer * charm he never so wisely.	58005	945
Psalm58.6	6 Break their teeth, O God, in their mouths; smite the jaw-bones of the lions, O Lord * let them fall away like water that runneth apace; and when they shoot their arrows let them be rooted out.	Break their teeth, O God, in their mouths; smite the jaw-bones of the lions, O Lord * let them fall away like water that runneth apace; and when they shoot their arrows let them be rooted out.	58006	946
Psalm58.7	7 Let them consume away like a snail, and be like the untimely fruit of a woman * and let them not see the sun.	Let them consume away like a snail, and be like the untimely fruit of a woman * and let them not see the sun.	58007	947
Psalm58.8	8 Or ever your pots be made hot with thorns * so let indignation vex him, even as a thing that is raw.	Or ever your pots be made hot with thorns * so let indignation vex him, even as a thing that is raw.	58008	948
Psalm58.9	9 The righteous shall rejoice when he seeth the vengeance * he shall wash his footsteps in the blood of the ungodly.	The righteous shall rejoice when he seeth the vengeance * he shall wash his footsteps in the blood of the ungodly.	58009	949
Psalm58.10	10 So that a man shall say, Verily there is a reward for the righteous * doubtless there is a God that judgeth the earth.	So that a man shall say, Verily there is a reward for the righteous * doubtless there is a God that judgeth the earth.	58010	950
Psalm59.0	Psalm 59. Eripe me de inimicis.	Psalm 59. Eripe me de inimicis.	59000	951
Psalm59.1	1 DELIVER me from mine enemies, O God * defend me from them that rise up against me.	DELIVER me from mine enemies, O God * defend me from them that rise up against me.	59001	952
Psalm59.2	2 O deliver me from the wicked doers * and save me from the blood-thirsty men.	O deliver me from the wicked doers * and save me from the blood-thirsty men.	59002	953
Psalm59.3	3 For lo, they lie waiting for my soul * the mighty men are gathered against me, without any offence or fault of me, O Lord.	For lo, they lie waiting for my soul * the mighty men are gathered against me, without any offence or fault of me, O Lord.	59003	954
Psalm59.4	4 They run and prepare themselves without my fault * arise thou therefore to help me, and behold.	They run and prepare themselves without my fault * arise thou therefore to help me, and behold.	59004	955
Psalm59.5	5 Stand up, O Lord God of hosts, thou God of Israel, to visit all the heathen * and be not merciful unto them that offend of malicious wickedness.	Stand up, O Lord God of hosts, thou God of Israel, to visit all the heathen * and be not merciful unto them that offend of malicious wickedness.	59005	956
Psalm59.6	6 They go to and fro in the evening * they grin like a dog, and run about through the city.	They go to and fro in the evening * they grin like a dog, and run about through the city.	59006	957
Psalm59.7	7 Behold, they speak with their mouth, and swords are in their lips * for who doth hear?	Behold, they speak with their mouth, and swords are in their lips * for who doth hear?	59007	958
Psalm59.8	8 But thou. O Lord, shalt have them in derision * and thou shalt laugh all the heathen to scorn.	But thou. O Lord, shalt have them in derision * and thou shalt laugh all the heathen to scorn.	59008	959
Psalm59.9	9 My strength will I ascribe unto thee * for thou art the God of my refuge.	My strength will I ascribe unto thee * for thou art the God of my refuge.	59009	960
Psalm59.10	10 God sheweth me his goodness plenteously * and God shall let me see my desire upon mine enemies.	God sheweth me his goodness plenteously * and God shall let me see my desire upon mine enemies.	59010	961
Psalm59.11	11 Slay them not, lest my people forget it * but scatter them abroad among the people, and put them down, O Lord, our defence.	Slay them not, lest my people forget it * but scatter them abroad among the people, and put them down, O Lord, our defence.	59011	962
Psalm59.12	12 For the sin of their mouth, and for the words of their lips, they shall be taken in their pride * and why? their preaching is of cursing and lies.	For the sin of their mouth, and for the words of their lips, they shall be taken in their pride * and why? their preaching is of cursing and lies.	59012	963
Psalm59.13	13 Consume them in thy wrath, consume them, that they may perish * and know that it is God that ruleth in Jacob, and unto the ends of the world.	Consume them in thy wrath, consume them, that they may perish * and know that it is God that ruleth in Jacob, and unto the ends of the world.	59013	964
Psalm59.14	14 And in the evening they will return * grin like a dog, and will go about the city.	And in the evening they will return * grin like a dog, and will go about the city.	59014	965
Psalm59.15	15 They will run here and there for meat * and grudge if they be not satisfied.	They will run here and there for meat * and grudge if they be not satisfied.	59015	966
Psalm59.16	16 As for me, I will sing of thy power, and will praise thy mercy betimes in the morning * for thou hast been my defence and refuge in the day of my trouble.	As for me, I will sing of thy power, and will praise thy mercy betimes in the morning * for thou hast been my defence and refuge in the day of my trouble.	59016	967
Psalm59.17	17 Unto thee, O my strength, will I sing * for thou, O God, art my refuge, and my merciful God.	Unto thee, O my strength, will I sing * for thou, O God, art my refuge, and my merciful God.	59017	968
