ValidationDropDownList	Hymnal	HymnNumber	PD	FirstLine	Tune	Metre	Occasion	EHNote	EHNote2
C330 Jesus, the holy Lamb of God	CH:Celebration Hymnal for Everyone	330		Jesus, the holy Lamb of God					
C331 Jesus the Word has lived among us	CH:Celebration Hymnal for Everyone	331		Jesus the Word has lived among us					
C332 Jesus, thou art coming	CH:Celebration Hymnal for Everyone	332	*	Jesus, thou art coming					
C333 Join in the dance	CH:Celebration Hymnal for Everyone	333		Join in the dance					
C334 Jesus, you’re the one I love	CH:Celebration Hymnal for Everyone	334		Jesus, you’re the one I love					
C335 Joy to the world	CH:Celebration Hymnal for Everyone	335	*	Joy to the world					
C336 Jubilate Deo omnis terra	CH:Celebration Hymnal for Everyone	336		Jubilate Deo omnis terra					
C337 Jubilate Deo (Praetorius)	CH:Celebration Hymnal for Everyone	337		Jubilate Deo (Praetorius)					
C338 Jubilate, ev’rybody, serve the Lord	CH:Celebration Hymnal for Everyone	338		Jubilate, ev’rybody, serve the Lord					
C339 Just as I am	CH:Celebration Hymnal for Everyone	339	*	Just as I am					
C34 Alleluia, alleluia, salvation and glory	CH:Celebration Hymnal for Everyone	34		Alleluia, alleluia, salvation and glory					
C340 Keep in mind that Jesus Christ	CH:Celebration Hymnal for Everyone	340		Keep in mind that Jesus Christ					
C341 Keep we the fast our ancestors learned	CH:Celebration Hymnal for Everyone	341		Keep we the fast our ancestors learned					
C342 Kindle a flame	CH:Celebration Hymnal for Everyone	342	*	Kindle a flame					
C343 King of glory, king of peace	CH:Celebration Hymnal for Everyone	343	*	King of glory, king of peace					
C344 Kum ba yah, my Lord	CH:Celebration Hymnal for Everyone	344	*	Kum ba yah, my Lord					
C345 Lamb of God, Holy One	CH:Celebration Hymnal for Everyone	345		Lamb of God, Holy One					
C346 Laudate Dominum	CH:Celebration Hymnal for Everyone	346		Laudate Dominum					
C347 Lay your hands	CH:Celebration Hymnal for Everyone	347		Lay your hands					
C348 Lead, kindly light	CH:Celebration Hymnal for Everyone	348	*	Lead, kindly light					
C349 Lead me, guide me	CH:Celebration Hymnal for Everyone	349		Lead me, guide me					
C35 Alleluia (Premananda)	CH:Celebration Hymnal for Everyone	35		Alleluia (Premananda)					
C35 Premananda Alleluia	CH:Celebration Hymnal for Everyone	35		Premananda Alleluia					
C350 Lead us from death to life	CH:Celebration Hymnal for Everyone	350		Lead us from death to life					
C351 Lead us, heav’nly Father, lead us	CH:Celebration Hymnal for Everyone	351		Lead us, heav’nly Father, lead us					
C352 Leader now on earth no longer (Great Saint George)	CH:Celebration Hymnal for Everyone	352	*	Leader now on earth no longer (Great Saint George)					
C353 Leaping the mountains	CH:Celebration Hymnal for Everyone	353	*	Leaping the mountains					
C354 Leave your country and your people	CH:Celebration Hymnal for Everyone	354		Leave your country and your people					
C355 Let all mortal flesh keep silence	CH:Celebration Hymnal for Everyone	355	*	Let all mortal flesh keep silence					
C356 Let all that is within me	CH:Celebration Hymnal for Everyone	356	*	Let all that is within me					
C357 Let all the world in every corner sing	CH:Celebration Hymnal for Everyone	357	*	Let all the world in every corner sing					
C358 Let there be love shared among us	CH:Celebration Hymnal for Everyone	358		Let there be love shared among us					
C359 Let us break bread together	CH:Celebration Hymnal for Everyone	359	*	Let us break bread together					
C36 Alleluia (eight–fold)	CH:Celebration Hymnal for Everyone	36	*	Alleluia (eight–fold)					
C360 Let us go forth into the world	CH:Celebration Hymnal for Everyone	360		Let us go forth into the world					
C361 Let us talents and tongues employ	CH:Celebration Hymnal for Everyone	361		Let us talents and tongues employ					
C362 Let us, with a gladsome mind	CH:Celebration Hymnal for Everyone	362	*	Let us, with a gladsome mind					
C363 Lift high the cross	CH:Celebration Hymnal for Everyone	363		Lift high the cross					
C364 Lift up your heads, O mighty gates	CH:Celebration Hymnal for Everyone	364	*	Lift up your heads, O mighty gates					
C365 Light of our darkness	CH:Celebration Hymnal for Everyone	365		Light of our darkness					
C366 Light the Advent candle one	CH:Celebration Hymnal for Everyone	366		Light the Advent candle one					
C367 Like a mighty river flowing	CH:Celebration Hymnal for Everyone	367		Like a mighty river flowing					
C368 Like a sea without a shore	CH:Celebration Hymnal for Everyone	368		Like a sea without a shore					
C369 Like a shepherd he feeds his flock	CH:Celebration Hymnal for Everyone	369		Like a shepherd he feeds his flock					
C37 Alleluia, sing to Jesus	CH:Celebration Hymnal for Everyone	37	*	Alleluia, sing to Jesus					
C370 Like as the deer that yearns	CH:Celebration Hymnal for Everyone	370		Like as the deer that yearns					
C371 Like the dawning of the morning	CH:Celebration Hymnal for Everyone	371	*	Like the dawning of the morning					
C372 Little Jesus, sweetly sleep	CH:Celebration Hymnal for Everyone	372		Little Jesus, sweetly sleep					
C373 Lo, He comes with clouds descending	CH:Celebration Hymnal for Everyone	373	*	Lo, He comes with clouds descending					
C374 Long ago in Bethlehem	CH:Celebration Hymnal for Everyone	374		Long ago in Bethlehem					
C375 Long ago, prophets knew	CH:Celebration Hymnal for Everyone	375		Long ago, prophets knew					
C376 Look around you, can you see? (Clark Kyrie)	CH:Celebration Hymnal for Everyone	376		Look around you, can you see? (Clark Kyrie)					
C377 Lord accept the gifts we offer	CH:Celebration Hymnal for Everyone	377		Lord accept the gifts we offer					
C378 Lord, accept the praise now given	CH:Celebration Hymnal for Everyone	378		Lord, accept the praise now given					
C379 Lord, enthroned in heavenly splendour	CH:Celebration Hymnal for Everyone	379	*	Lord, enthroned in heavenly splendour					
C38 Alleluia!… This is the day	CH:Celebration Hymnal for Everyone	38		Alleluia!… This is the day					
C380 Lord, for tomorrow and its needs	CH:Celebration Hymnal for Everyone	380	*	Lord, for tomorrow and its needs					
C381 Lord, in everything I do	CH:Celebration Hymnal for Everyone	381		Lord, in everything I do					
C382 Lord Jesus Christ, shall I stand still	CH:Celebration Hymnal for Everyone	382		Lord Jesus Christ, shall I stand still					
C383 Lord Jesus Christ, you have come to us	CH:Celebration Hymnal for Everyone	383		Lord Jesus Christ, you have come to us					
C384 Lord Jesus, think on me	CH:Celebration Hymnal for Everyone	384	*	Lord Jesus, think on me					
C385 Lord, make me an instrument of thy peace	CH:Celebration Hymnal for Everyone	385		Lord, make me an instrument of thy peace					
C386 Lord of all hopefulness	CH:Celebration Hymnal for Everyone	386		Lord of all hopefulness					
C387 Lord of all loving, we stand before you	CH:Celebration Hymnal for Everyone	387		Lord of all loving, we stand before you					
C388 Lord, I come to Your awsome presence	CH:Celebration Hymnal for Everyone	388		Lord, I come to Your awsome presence					
C388 Lord, the light of Your love is shining	CH:Celebration Hymnal for Everyone	388		Lord, the light of Your love is shining					
C389 Lord, this paschal time remind us	CH:Celebration Hymnal for Everyone	389		Lord, this paschal time remind us					
C353 Lord of Glory	CH:Celebration Hymnal for Everyone	353	*	Lord of Glory					
C39 Almighty Father, Lord most high	CH:Celebration Hymnal for Everyone	39		Almighty Father, Lord most high					
C390 Lord, thy word abideth	CH:Celebration Hymnal for Everyone	390	*	Lord, thy word abideth					
C391 Lord, we pray for golden peace	CH:Celebration Hymnal for Everyone	391		Lord, we pray for golden peace					
C392 Lord, who throughout these forty days	CH:Celebration Hymnal for Everyone	392	*	Lord, who throughout these forty days					
C393 Lord, You are so precious to me	CH:Celebration Hymnal for Everyone	393		Lord, You are so precious to me					
C394 Lord, you give the great commission	CH:Celebration Hymnal for Everyone	394		Lord, you give the great commission					
C395 Lord, you have come to the lakeside	CH:Celebration Hymnal for Everyone	395		Lord, you have come to the lakeside					
C396 Lord, your love has drawn us near	CH:Celebration Hymnal for Everyone	396		Lord, your love has drawn us near					
C397 Love came down at Christmas	CH:Celebration Hymnal for Everyone	397	*	Love came down at Christmas					
C398 Love divine, all loves excelling	CH:Celebration Hymnal for Everyone	398	*	Love divine, all loves excelling					
C399 Love is his word, love is his way	CH:Celebration Hymnal for Everyone	399		Love is his word, love is his way					
C4 A new commandment I give unto you	CH:Celebration Hymnal for Everyone	4	*	A new commandment I give unto you					
C40 Amazing grace	CH:Celebration Hymnal for Everyone	40	*	Amazing grace					
C400 Grant to us, O Lord, a heart renewed	CH:Celebration Hymnal for Everyone	400		Grant to us, O Lord, a heart renewed					
C401 Water of life, cleanse and refresh us	CH:Celebration Hymnal for Everyone	401		Water of life, cleanse and refresh us					
C403 Kyrie, eleison (Sussex Mass)	CH:Celebration Hymnal for Everyone	403		Kyrie, eleison (Sussex Mass)					
C403 Sussex Mass (Penitential Act)	CH:Celebration Hymnal for Everyone	403		Sussex Mass (Penitential Act)					
C404 Gathering Mass (Penitential Act)	CH:Celebration Hymnal for Everyone	404		Gathering Mass (Penitential Act)					
C404 Lord, have mercy, Kyrie, eleison	CH:Celebration Hymnal for Everyone	404		Lord, have mercy, Kyrie, eleison					
C405 Gathering Mass (Gloria)	CH:Celebration Hymnal for Everyone	405		Gathering Mass (Gloria)					
C405 Glory, glory to God (Gathering Mass)	CH:Celebration Hymnal for Everyone	405		Glory, glory to God (Gathering Mass)					
C407 Coventry Gloria	CH:Celebration Hymnal for Everyone	407		Coventry Gloria					
C407 Glory to God, glory in the highest	CH:Celebration Hymnal for Everyone	407		Glory to God, glory in the highest					
C409 Gloria, gloria, in excelsis Deo (Duffy)	CH:Celebration Hymnal for Everyone	409		Gloria, gloria, in excelsis Deo (Duffy)					
C410 Alleluia, Alleluia! (Celtic Alleluia)	CH:Celebration Hymnal for Everyone	410		Alleluia, Alleluia! (Celtic Alleluia)					
C410 Celtic Alleluia	CH:Celebration Hymnal for Everyone	410		Celtic Alleluia					
C411 Mass of Creation (Gospel Acclamation)	CH:Celebration Hymnal for Everyone	411		Mass of Creation (Gospel Acclamation)					
C412 Salisbury Alleluia	CH:Celebration Hymnal for Everyone	412		Salisbury Alleluia					
C413 Alleluia, Alleluia (Alleluia VII – Taizé)	CH:Celebration Hymnal for Everyone	413		Alleluia, Alleluia (Alleluia VII – Taizé)					
C414 Glory and praise to you Lord	CH:Celebration Hymnal for Everyone	414		Glory and praise to you Lord					
C415 Praise to you O Christ, king of eternal glory!	CH:Celebration Hymnal for Everyone	415		Praise to you O Christ, king of eternal glory!					
C416 Praise to you, O Christ, our Saviour	CH:Celebration Hymnal for Everyone	416		Praise to you, O Christ, our Saviour					
C418 Come, Lord Jesus, maranatha!	CH:Celebration Hymnal for Everyone	418		Come, Lord Jesus, maranatha!					
C419 Lord, in your mercy, hear our prayer	CH:Celebration Hymnal for Everyone	419		Lord, in your mercy, hear our prayer					
C42 An upper room	CH:Celebration Hymnal for Everyone	42		An upper room					
C420 In our need, we pray to the Lord	CH:Celebration Hymnal for Everyone	420		In our need, we pray to the Lord					
C421 Through our lives and by our prayers	CH:Celebration Hymnal for Everyone	421		Through our lives and by our prayers					
C422 Holy, Holy, Holy Lord God of hosts	CH:Celebration Hymnal for Everyone	422		Holy, Holy, Holy Lord God of hosts					
C428 Holy, Holy, Holy, Holy Lord (Mass of Hope)	CH:Celebration Hymnal for Everyone	428		Holy, Holy, Holy, Holy Lord (Mass of Hope)					
C43 And can it be	CH:Celebration Hymnal for Everyone	43	*	And can it be					
C44 And did those feet in ancient time	CH:Celebration Hymnal for Everyone	44	*	And did those feet in ancient time					
C45 Angel voices ever singing	CH:Celebration Hymnal for Everyone	45	*	Angel voices ever singing					
C456 Lamb of God, Lamb of God (Shrewsbury Mass)	CH:Celebration Hymnal for Everyone	456		Lamb of God, Lamb of God (Shrewsbury Mass)					
C456 Shrewsbury Mass (Agnus Dei)	CH:Celebration Hymnal for Everyone	456		Shrewsbury Mass (Agnus Dei)					
C459 Lord, have mercy (New People’s Mass)	CH:Celebration Hymnal for Everyone	459		Lord, have mercy (New People’s Mass)					
C46 Angel voices richly blending	CH:Celebration Hymnal for Everyone	46		Angel voices richly blending					
C464 Our Father (New People’s Mass)	CH:Celebration Hymnal for Everyone	464		Our Father (New People’s Mass)					
C467 Missa De Angelis	CH:Celebration Hymnal for Everyone	467	*	Missa De Angelis					
C468 Kyrie, eleison (Orbis factor)	CH:Celebration Hymnal for Everyone	468	*	Kyrie, eleison (Orbis factor)					
C468 Orbis factor (Kyrie eleison)	CH:Celebration Hymnal for Everyone	468	*	Orbis factor (Kyrie eleison)					
C469 Credo III	CH:Celebration Hymnal for Everyone	469	*	Credo III					
C47 Angels we have heard in heaven	CH:Celebration Hymnal for Everyone	47	*	Angels we have heard in heaven					
C470 Sanctus XVIII	CH:Celebration Hymnal for Everyone	470	*	Sanctus XVIII					
C471 Mortem tuam	CH:Celebration Hymnal for Everyone	471	*	Mortem tuam					
C473 Agnus Dei XVIII	CH:Celebration Hymnal for Everyone	473	*	Agnus Dei XVIII					
C474 Loving Father, from thy bounty	CH:Celebration Hymnal for Everyone	474		Loving Father, from thy bounty					
C475 Loving shepherd of thy sheep	CH:Celebration Hymnal for Everyone	475	*	Loving shepherd of thy sheep					
