 PropersID	Seq	MM-DD	Collect of the Day
St Charles Borromeo, Bishop	329	 11-06	KEEP, O Lord, thy Church by the continual protection of Saint Charles Borromeo: that as his zeal for thy flock did render him glorious; so his intercession may ever make us fervent in thy love; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Illtud of Wales, Abbot	330	 11-06	THROUGH the example and intercession of Saint Illtud, O Lord: grant us the grace to seek thee in wisdom and bring us to find thee in prayer; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Willibrord, Bishop, Missionary	331	 11-07	O GOD, who didst vouchsafe to send thy blessed Saint Willibrord to preach thy glory to the nations: we humbly pray thee; that by his merits and intercession we may both see and know the things which we ought to do, and by thy mercy be enabled to perform the same; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
All Saints of England	332	 11-08	GRANT, we beseech thee, almighty God: that we may in all things be comforted by the intercession of holy Mary, Mother of God, of all the holy Apostles, Martyrs, Confessors and Virgins, and all the Saints of England (Wales): and that like as we do call to mind their godliness of life; so we may be effectually defended by their help; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
Dedication of the Archbasilica of St John Lateran	333	 11-09	O MOST blessed Saviour, who didst vouchsafe thy gracious presence at the Feast of Dedication: be present with us at this time by thy Holy Spirit, and so possess our souls by thy grace; that we may be living temples, holy and acceptable unto thee; who livest and reignest with the Father, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Leo the Great, Pope, Doctor	334	 11-10	O LORD Jesu Christ, who didst strengthen thy holy Bishop and Doctor, Pope Leo, to maintain both by word and deed the verity of thy sacred Humanity: grant, we beseech thee; that guided by the light of his doctrine, we may earnestly defend the faith of thy holy Incarnation; who livest and reignest with the Father, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Martin of Tours, Bishop	335	 11-11	O GOD, who seest that we are not able to stand in our own strength: mercifully grant; that through the prayers of blessed Martin thy Confessor and Bishop, we may be defended from all adversities; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Josaphat, Bishop, Martyr	336	 11-12	STIR UP in thy Church, we pray, O Lord, the Spirit that filled Saint Josaphat: that, as he laid down his life for the sheep; so through his intercession we, too, may be strengthened by the same Spirit and not fear to lay down our life for our brethren; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Albert the Great, Bishop, Doctor	337	 11-15	O GOD, who gavest grace unto blessed Albert, thy Bishop and Doctor, to become truly great in the subjection of human wisdom to divine faith: grant us, we beseech thee, so to follow in the footsteps of his teaching; that we may enjoy the perfect light in heaven; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Margaret of Scotland, Queen	338	 11-16	O GOD, who didst call thy servant Margaret to an earthly throne that she might advance thy heavenly kingdom, and didst endue her with zeal for thy Church and charity towards thy people: mercifully grant; that we who ask her prayers and commemorate her example may be fruitful in good works, and attain to the glorious fellowship of thy Saints; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Edmund of Abingdon, Bishop	339	 11-16	O GOD, who, by the providence of thine abundant bounty, didst adorn thy Church with the merits of the wondrous life of blessed Edmund, thy Confessor and Bishop, and gladdened her with his glorious miracles: mercifully grant to us thy servants; that by his example we may learn to amend our lives, and by his intercession be defended against all adversities; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Hilda of Whitby, Abbess	340	 11-17	ALMIGHTY and everlasting God, who didst endow thy Abbess Hilda with purity and strength: grant by her intercession; that we may subdue our souls and bodies to thy most holy will; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Hugh of Lincoln, Bishop	341	 11-17	O GOD, who didst endow thy servant Saint Hugh of Lincoln with a wise and cheerful boldness and didst teach him to commend to earthly rulers the discipline of a holy life: by his intercession, give us grace like him to be bold in the service of the Gospel, putting our confidence in Christ alone: who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
Dedication of the Basilicas of Ss Peter & Paul, Apostles	342	 11-18	DEFEND thy Church, O Lord, by the protection of the holy Apostles: that, as she received from them the beginnings of her knowledge of things divine; so through them she may receive, even to the end of the world, an increase in heavenly grace; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Edmund, King & Martyr	343	 11-20	O GOD of unspeakable mercy, who didst give thy blessed Saint Edmund grace to overcome the enemy by dying for thy Name: mercifully grant to us thy servants; that by his intercession we may be found worthy to conquer and subdue the temptations of our ancient adversary; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
Presentation of our Lady	344	 11-21	ALMIGHTY and everlasting God, who by the overshadowing of the Holy Spirit didst prepare the body and soul of the glorious Virgin Mother Mary to be a dwelling place for thy Son: grant that we who rejoice in her Presentation may at her tender intercession be kept unspotted, and made a pure temple for his dwelling; who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Cecilia, Virgin, Martyr	345	 11-22	O GOD, who makest us glad with the yearly festival of blessed Cecilia thy Virgin and Martyr: grant that we who venerate her in our service, may also follow the example of her godly life; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Clement I, Pope, Martyr	346	 11-23	O EVERLASTING Shepherd, favourably look upon thy flock: and keep it with perpetual protection, through the intercession of blessed Clement thy Pope and Martyr, whom thou didst appoint to be shepherd of the whole Church; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Columbanus, Abbot, Missionary	347	 11-23	O GOD, who in Saint Columban wonderfully didst join the work of evangelization to zeal for the monastic life: grant, we pray, that through his intercession and example, we may strive to seek thee above all things and to bring increase to thy faithful people; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
Ss Andrew Dũng-Lạc & Companions, Martyrs	348	 11-24	O GOD, source and origin of all fatherhood, who kept the Martyrs Saint Andrew Dũng-Ląc and his Companions faithful to the Cross of thy Son, even to the shedding of their blood: grant, through their intercession; that, spreading thy love among our brethren, we may be thy children both in name and in truth; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Catherine of Alexandria, Virgin, Martyr	349	 11-25	O GOD, whose dwelling-place is in the pure of heart: grant we beseech thee, that we who venerate the memory of the Martyr Catherine, thy faithful bride, may have grace to follow the example of her holiness and courage; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Andrew, Scotland Patron, Apostle	350	 11-30	ALMIGHTY God, who didst give such grace unto thy holy Apostle Saint Andrew, that he readily obeyed the calling of thy Son Jesus Christ, and followed him without delay: grant unto us all; that we, being called by thy holy Word, may forthwith give up ourselves obediently to fulfil thy holy commandments; through the same Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Edmund Campion, Martyr	351	 12-01	ALMIGHTY and everliving God, who gavest thy Martyr Edmund Campion courage to witness to the Gospel of Christ even unto the giving of his life: grant that, by his prayers; we may endure all suffering for love of thee, and may seek thee with all our hearts, for thou alone art the source of life; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Francis Xavier, Priest	352	 12-03	O GOD, who by the preaching and wondrous works of Saint Francis Xavier didst unite unto thy Church the peoples of India: mercifully grant that we who venerate his glorious merits; may likewise follow him in all virtuous and godly living; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St John Damascene, Priest, Doctor	353	 12-04	ALMIGHTY everlasting God, who, for the defence of the veneration of sacred images, didst endue blessed John Damascene with heavenly doctrine and wondrous strength of spirit: grant unto us by his intercession and example; that we may imitate the virtues and perceive the advocacy of those images we honour; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Nicholas of Myra, Bishop	354	 12-06	O GOD, who didst adorn thy blessed Bishop Saint Nicholas with power to work many and great miracles: grant, we beseech thee, that by his prayers and merits; we may be delivered from the fires of everlasting torment; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Ambrose, Bishop, Doctor	355	 12-07	O GOD, who didst set thy blessed Bishop Saint Ambrose in thy Church as a Doctor and defender of the Catholic faith and an example of apostolic fortitude: grant, we beseech thee, that aided by his intercession; we may escape the dangers of error and never be ashamed to confess thy truth; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
Immaculate Conception of our Lady	356	 12-08	O GOD, who in the foreknowledge of thy Son’s most precious death didst consecrate for him a dwelling-place by the Immaculate Conception of the Blessed Virgin Mary: mercifully grant; that she who was preserved from all defilement; may evermore pray for us until we attain unto thee in purity of heart; through the same Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Juan Diego Cuauhtlatoatzin	357	 12-09	O GOD, who by means of Saint Juan Diego didst show the love of the most holy Virgin Mary for thy people: grant, through his intercession; that, by following the counsels our Mother gave at Guadalupe, we may be ever constant in fulfilling thy will; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St John Roberts of Wales, Priest, Martyr	358	 12-10	PRESERVE among thy people, O Lord, we pray: that faith which was handed down from thine Apostles, assured by the authority of the Holy See, and professed by the blood of Saint John Roberts, thy holy Martyr; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Damasus I, Pope	359	 12-11	GRANT, we pray thee, O Lord: that we may constantly exalt the merits of thy Martyrs, whom Pope Saint Damasus so venerated and loved; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
Our Lady of Guadalupe	360	 12-12	O GOD, who hast willed that under the special patronage of the most Blessed Virgin Mary of Guadalupe, we should receive an abundant measure of unceasing favours: grant us, thy suppliant people; that as we rejoice to honour her upon earth, so we may enjoy the vision of her in heaven; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Lucy, Virgin, Martyr	361	 12-13	O LORD our Saviour, who art the true Light that lighteneth every man: graciously hear us; that like as we do rejoice in the festival of blessed Lucy thy Virgin and Martyr, so we may learn to follow her in all godly and devout affections; who liveth and reigneth with the Father, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St John of the Cross, Priest, Doctor	362	 12-14	O GOD, who didst inspire thy holy Confessor Saint John with an ardent love of self-denial and of the Cross: grant that by constantly following his example we may attain to everlasting glory; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Peter Canisius, Priest, Doctor	363	 12-21	O GOD, who didst strengthen Saint Peter Canisius, thy Confessor, for the defence of the Catholic faith: mercifully grant; that by his example and teaching, the erring may be made wise unto salvation and the faithful may stand fast in the confession of truth; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St John of Kanty, Priest	364	 12-23	GRANT, we beseech thee, almighty God: that after the example of blessed John of Kanty, thy Confessor, we may so advance in the knowledge of the Saints, and likewise so learn to show mercy to all men; that by his merits we may counted worthy to attain thy pardon; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Stephen, Proto-Martyr	365	 12-26	GRANT, O Lord, that in all our sufferings here upon earth, for the testimony of thy truth, we may steadfastly look up to heaven, and by faith behold the glory that shall be revealed: and, being filled with the Holy Spirit, may learn to love and bless our persecutors, by the example of thy first Martyr Saint Stephen; who prayed for his murderers to thee, O blessed Jesus, who standest at the right hand of God to succour all those that suffer for thee, our Mediator and Advocate; who livest and reignest with the Father, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St John, Apostle, Evangelist	366	 12-27	MERCIFUL Lord, we beseech thee to cast thy bright beams of light upon thy Church: that she being enlightened by the doctrine of thy blessed Apostle and Evangelist Saint John; may so walk in the light of thy truth, that she may at length attain to the light of everlasting life; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
Holy Innocents, Martyrs	367	 12-28	O ALMIGHTY God, who out of the mouths of babes and nurslings hast ordained strength, and madest infants to glorify thee by their deaths: mortify and kill all vices in us; and so strengthen us by thy grace, that by the innocency of our lives, and constancy of our faith, even unto death, we may glorify thy holy Name; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Thomas Becket, Bishop, Martyr	368	 12-29	O GOD, for whose Church the glorious Bishop Thomas Becket fell by the swords of wicked men: grant, we beseech thee; that all who call upon him for succour may be profited by the obtaining of all that they desire; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Sylvester I, Pope	369	 12-31	BE MERCIFUL to the people of thy flock, O Lord, eternal Shepherd of our souls: and keep us in thy continual protection at the intercession of Saint Sylvester, whom thou didst raise up to be shepherd of the whole Church; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
Common Dedication On the Day of the Dedication (VOE)	370		O MOST blessed Saviour, who didst vouchsafe thy gracious presence at the Feast of Dedication: be present with us at this time by thy Holy Spirit; and so possess our souls by thy grace, that we may be living temples, holy and acceptable unto thee; who livest and reignest with the Father, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
Common Dedication On the Anniversary of the Dedication (VOE)	371		O GOD, whom year by year we praise for the dedication of this church: hear, we beseech thee, the prayers of thy people; and grant that whosoever shall worship before thee in this place, may obtain thy merciful aid and protection; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
Common Dedication On the Anniversary of the Dedication 2 (VOE)	372		O GOD, by whose providence we celebrate again the dedication of this church: send down upon us, we beseech thee, thy heavenly blessing; and, because holiness becometh thine house for ever, sanctify us, we beseech thee, that we may be living temples, holy and acceptable unto thee; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
Common BVM (VOE)	373		GRANT, we beseech thee, O Lord God, that we thy servants may enjoy perpetual health of mind and body: and, at the glorious intercession of the blessed and ever-Virgin Mary; may be delivered from present sadness, and may rejoice in continual gladness; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
Common Martyrs For a Pope (VOE)	374		ALMIGHTY GOD, mercifully look upon our infirmities: that whereas we are afflicted with the burden of our sins; the glorious intercession of thy Martyr and Pope (Bishop) blessed N. may be our succour and defence; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
Common Martyrs For a Bishop (VOE)	375		O GOD, who makest us glad with the yearly festival of blessed N. thy Martyr and Bishop: mercifully grant that, as we now observe his heavenly birthday; so we may likewise rejoice in his protection; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
Common Martyrs For One Martyr Outside Eastertide (VOE)	376		ALMIGHTY GOD, by whose grace and power thy Martyr N. was enabled to witness to the truth and to be faithful unto death: grant that we, who now remember him (her) before thee; may likewise so bear witness unto thee in this world, that we may receive with him (her) the crown of glory that fadeth not away; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
Common Martyrs For One Martyr Outside Eastertide 2 (VOE)	377		GRANT, we beseech thee, Almighty God: that we, who this day keep the heavenly birthday of blessed N. thy holy Martyr; may by his (her) prayers be stablished in the love of thy holy Name; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
Common Martyrs For One Martyr During Eastertide (VOE)	378		GRANT, we beseech thee, Almighty God: that we, who this day do keep the heavenly birthday of blessed N., thy holy Martyr; may by his (her) prayers be stablished in the love of thy holy Name; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
Common Martyrs For Several Martyrs During Eastertide (VOE)	379		PROTECT us, O Lord, we beseech thee: who observe the feast of blessed N. and N., thy holy Martyrs; and grant that by their meritorious supplication we may ever find favour in thy sight; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
Common Martyrs For Several Martyrs During Eastertide 2 (VOE)	380		O GOD, who vouchsafest unto us to keep the heavenly birthday of blessed N. and N., thy holy Martyrs: grant, we beseech thee; that we may rejoice in the perpetual felicity of their fellowship in heaven; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
Common Martyrs For Several Martyrs During Eastertide 3 (VOE)	381		O GOD, who vouchsafest unto us to keep the heavenly birthday of blessed N. and N., thy holy Martyrs: grant, we beseech thee; that we may rejoice in the perpetual felicity of their fellowship in heaven; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
Common Martyrs For a Virgin Martyr (VOE)	382		Graciously hear us, O God of our salvation: that like as we do rejoice in the feast of blessed N., thy Virgin and Martyr; so we may grow in the knowledge and love of true devotion; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
Common Confessors For a Pope (VOE)	383		O Everlasting Shepherd, mercifully look upon thy flock: and through the intercession of blessed N. thy Supreme Pontiff, whom thou didst appoint to be shepherd of the whole Church; keep her with thy perpetual protection; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
Common Confessors For a Bishop (VOE)	384		GRANT, we beseech thee, Almighty God: that the devout observance of this festival of blessed N. thy Confessor and Bishop; may be profitable unto us for our advancement in all godliness and for the attainment of everlasting salvation; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
Common Confessors For a Bishop 2 (VOE)	385		WE BESEECH thee, O Lord, graciously to hear the prayers which we offer unto thee on this feast of blessed N., thy Confessor and Bishop: that, like as he was found worthy to do thee faithful service, so, by the succour of his merits, we may be delivered from the chastisement which we have deserved; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
Common Confessors For a Priest (VOE)	386		O ALMIGHTY God, who willest to be glorified in thy Saints, and didst raise up thy servant N. to shine as a light in the world: shine, we pray thee, in our hearts; that aided by his prayers we also in our generation may show forth thy praises, who hast called us out of darkness into thy marvellous light; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
Common Confessors For a Priest 2 (VOE)	387		O GOD, who makest us glad with the yearly feast of blessed N., thy Priest and Confessor: mercifully grant, that, as we now observe his heavenly birthday; so we may follow him in all virtuous and godly living; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
Common Confessors For a Missionary (VOE)	388		O GOD, who makest us glad with the yearly memorial of blessed N., thy Confessor whose labours we commemorate this day: mercifully grant that as we now observe his heavenly birthday; so thou wouldest send forth many labourers into thy harvest; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
Common Doctors (VOE)	389		O GOD, by whose providence blessed N. was sent to guide thy people in the way of everlasting salvation: grant, we beseech thee; as we on earth have learned of him (her) the doctrine of life, so we may be found worthy to have him (her) for our advocate in heaven; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
Common For One Virgin (NOE)	390		Graciously hear us, O God of our salvation: that, like as we do rejoice in the festival of blessed N., thy holy Virgin; so we may learn to follow her in all godly and devout affections; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
Common For One Virgin 2 (VOE)	391		O GOD who didst endue thy holy Virgin N., with grace to witness a holy life: grant that we, after her example and aided by her prayers, may be found ready when the Bridegroom cometh, and enter with him to the marriage feast; through the same Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
Common Holy Men and Women For One Saint (VOE)	392		O ALMIGHTY God, who willest to be glorified in thy Saints, and didst raise up thy servant N. to shine as a light in the world: shine, we pray thee, in our hearts; that aided by his prayers we also in our generation may show forth thy praises, who hast called us out of darkness into thy marvellous light; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
Common Holy Men and Women For One Saint 2 (VOE)	393		O GOD, who makest us glad with the yearly feast of blessed N., thy Confessor: mercifully grant, that, as we now observe his heavenly birthday; so we may follow him in all virtuous and godly living; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
Common Holy Men and Women For Holy Women (VOE)	394		O GOD Most High, the Creator of all mankind: we bless thy holy Name for the virtue and grace which thou hast given unto holy women in all ages, especially thy handmaid Saint N.; and we pray that the example of her faith and purity may inspire many souls in this generation to look unto thee, and to follow thy blessed Son Jesus Christ our Lord; who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
Common Holy Men and Women For Holy Women 2 (VOE)	395		Graciously hear us, O God of our salvation: that, like as we do rejoice in the festival of blessed N., thy holy woman; so we may learn to follow her in all godly and devout affections; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
Common Holy Men and Women For Religious (VOE)	396		ALMIGHTY GOD, our heavenly Father: we remember before thee all thy servants who have served thee faithfully in their generation, and have entered into rest, especially N. (and N.); beseeching thee to give us grace so to follow in their steps, that with them we may be partakers of thy heavenly kingdom; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
Common Holy Men and Women For an Abbot or Abbess (VOE)	397		GRANT, we beseech thee, O Lord, that the prayers of thy holy Abbot (Abbess), blessed N., may commend us unto thee: that we, who have no power of ourselves to help ourselves; may by his (her) advocacy find favour in thy sight; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
Common Holy Men and Women For an Abbot or Abbess 2 (VOE)	398		O GOD, who to the blessed Abbot (Abbess) N. gavest grace to imitate Christ in his poverty, and with humble heart to follow him to the end: grant that all who enter the path of Gospel perfection may neither look back nor go astray from the way; but hastening to thee without stumbling, may attain the crown of eternal life whereunto thou dost call them; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
Common Holy Men and Women For an Educator (VOE)	399		O GOD, who by thy Holy Spirit hast given unto one man a word of wisdom, and to another a gift of knowledge, and to another the gift of tongues: we praise thy Name for the gifts of grace manifested in thy servant N.; and we pray that thy Church may never be destitute of the same; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
Common Holy Men and Women For an Educator 2 (VOE)	400		Assist us mercifully, O Lord, in these our supplications which we make before thee on the feast of blessed N., thy holy servant: that we who put not our trust in our own righteousness; may be succoured by the prayers of him (her) that found favour in thy sight; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
Holy Apostles	401		O ALMIGHTY GOD, who hast built thy Church upon the foundation of the Apostles and Prophets, Jesus Christ himself being the head corner-stone : grant us so to be joined together in unity of spirit by their doctrine, that we may be made an holy temple acceptable unto thee; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
